"","x"
"1","0"
"2","5"
"3","8"
"4","2"
"5","5"
"6","2"
"7","2"
"8","5"
"9","0"
"10","1"
"11","0"
"12","6"
"13","12"
"14","0"
"15","2"
"16","4"
"17","2"
"18","2"
"19","0"
"20","0"
"21","5"
"22","0"
"23","0"
"24","0"
"25","2"
"26","4"
"27","2"
"28","6"
"29","0"
"30","1"
"31","4"
"32","4"
"33","5"
"34","0"
"35","5"
"36","4"
"37","0"
"38","12"
"39","0"
"40","0"
"41","0"
"42","11"
"43","1"
"44","2"
"45","4"
"46","1"
"47","1"
"48","5"
"49","0"
"50","0"
"51","1"
"52","6"
"53","12"
"54","3"
"55","0"
"56","9"
"57","0"
"58","1"
"59","0"
"60","7"
"61","2"
"62","1"
"63","1"
"64","0"
"65","0"
"66","0"
"67","9"
"68","0"
"69","4"
"70","1"
"71","3"
"72","12"
"73","3"
"74","3"
"75","4"
"76","2"
"77","2"
"78","1"
"79","2"
"80","10"
"81","2"
"82","1"
"83","1"
"84","3"
"85","2"
"86","0"
"87","0"
"88","8"
"89","2"
"90","7"
"91","0"
"92","3"
"93","0"
"94","2"
"95","3"
"96","0"
"97","2"
"98","5"
"99","0"
"100","2"
"101","0"
"102","1"
"103","1"
"104","3"
"105","10"
"106","8"
"107","1"
"108","12"
"109","0"
"110","10"
"111","2"
"112","0"
"113","0"
"114","0"
"115","0"
"116","2"
"117","3"
"118","1"
"119","2"
"120","4"
"121","1"
"122","0"
"123","3"
"124","7"
"125","5"
"126","1"
"127","3"
"128","1"
"129","4"
"130","7"
"131","0"
"132","3"
"133","6"
"134","1"
"135","1"
"136","0"
"137","0"
"138","1"
"139","1"
"140","0"
"141","0"
"142","2"
"143","0"
"144","1"
"145","1"
"146","1"
"147","2"
"148","1"
"149","0"
"150","6"
"151","0"
"152","1"
"153","4"
"154","0"
"155","2"
"156","4"
"157","3"
"158","3"
"159","4"
"160","0"
"161","2"
"162","0"
"163","2"
"164","5"
"165","0"
"166","4"
"167","11"
"168","5"
"169","1"
"170","9"
"171","1"
"172","3"
"173","0"
"174","0"
"175","13"
"176","0"
"177","3"
"178","2"
"179","2"
"180","0"
"181","1"
"182","0"
"183","2"
"184","6"
"185","0"
"186","2"
"187","6"
"188","0"
"189","2"
"190","10"
"191","7"
"192","0"
"193","3"
"194","7"
"195","0"
"196","1"
"197","4"
"198","1"
"199","3"
"200","2"
"201","1"
"202","8"
"203","0"
"204","2"
"205","13"
"206","0"
"207","0"
"208","1"
"209","0"
"210","2"
"211","0"
"212","0"
"213","8"
"214","13"
"215","1"
"216","0"
"217","0"
"218","11"
"219","5"
"220","0"
"221","1"
"222","5"
"223","1"
"224","2"
"225","5"
"226","3"
"227","12"
"228","0"
"229","4"
"230","0"
"231","1"
"232","2"
"233","0"
"234","2"
"235","0"
"236","2"
"237","1"
"238","1"
"239","2"
"240","3"
"241","0"
"242","0"
"243","2"
"244","4"
"245","6"
"246","2"
"247","2"
"248","1"
"249","6"
"250","3"
"251","8"
"252","0"
"253","3"
"254","0"
"255","11"
"256","2"
"257","1"
"258","0"
"259","1"
"260","1"
"261","1"
"262","0"
"263","3"
"264","0"
"265","0"
"266","0"
"267","1"
"268","2"
"269","3"
"270","0"
"271","5"
"272","8"
"273","1"
"274","3"
"275","0"
"276","1"
"277","1"
"278","4"
"279","1"
"280","1"
"281","1"
"282","1"
"283","3"
"284","2"
"285","0"
"286","0"
"287","1"
"288","1"
"289","0"
"290","1"
"291","0"
"292","2"
"293","1"
"294","7"
"295","0"
"296","1"
"297","0"
"298","11"
"299","0"
"300","10"
"301","1"
"302","2"
"303","0"
"304","12"
"305","0"
"306","2"
"307","2"
"308","9"
"309","2"
"310","3"
"311","2"
"312","4"
"313","1"
"314","1"
"315","0"
"316","1"
"317","0"
"318","1"
"319","1"
"320","0"
"321","1"
"322","1"
"323","1"
"324","6"
"325","0"
"326","1"
"327","0"
"328","3"
"329","2"
"330","2"
"331","11"
"332","3"
"333","1"
"334","5"
"335","1"
"336","1"
"337","2"
"338","3"
"339","2"
"340","9"
"341","0"
"342","3"
"343","5"
"344","0"
"345","0"
"346","5"
"347","1"
"348","3"
"349","1"
"350","1"
"351","1"
"352","0"
"353","3"
"354","3"
"355","1"
"356","4"
"357","1"
"358","5"
"359","0"
"360","3"
"361","6"
"362","2"
"363","4"
"364","3"
"365","5"
"366","3"
"367","1"
"368","2"
"369","3"
"370","0"
"371","0"
"372","0"
